Designator,Mid X,Mid Y,Rotation,Layer
D1,9.398137,-10.286238,90.0,top
D1_10,23.082279,-44.175753,90.0,top
D1_11,23.082279,-55.472258,90.0,top
D1_12,23.082279,-66.768763,90.0,top
D1_13,36.766421,-10.286238,90.0,top
D1_14,36.766421,-21.582743,90.0,top
D1_15,36.766421,-32.879248,90.0,top
D1_16,36.766421,-44.175753,90.0,top
D1_17,36.766421,-55.472258,90.0,top
D1_18,36.766421,-66.768763,90.0,top
D1_19,50.450563,-10.286238,90.0,top
D1_2,9.398137,-21.582743,90.0,top
D1_20,50.450563,-21.582743,90.0,top
D1_21,50.450563,-32.879248,90.0,top
D1_22,50.450563,-44.175753,90.0,top
D1_23,50.450563,-55.472258,90.0,top
D1_24,50.450563,-66.768763,90.0,top
D1_3,9.398137,-32.879248,90.0,top
D1_4,9.398137,-44.175753,90.0,top
D1_5,9.398137,-55.472258,90.0,top
D1_6,9.398137,-66.768763,90.0,top
D1_7,23.082279,-10.286238,90.0,top
D1_8,23.082279,-21.582743,90.0,top
D1_9,23.082279,-32.879248,90.0,top
D2,2.260737,-10.311638,90.0,top
D2_10,15.944879,-44.201153,90.0,top
D2_11,15.944879,-55.497658,90.0,top
D2_12,15.944879,-66.794163,90.0,top
D2_13,29.629021,-10.311638,90.0,top
D2_14,29.629021,-21.608143,90.0,top
D2_15,29.629021,-32.904648,90.0,top
D2_16,29.629021,-44.201153,90.0,top
D2_17,29.629021,-55.497658,90.0,top
D2_18,29.629021,-66.794163,90.0,top
D2_19,43.313163,-10.311638,90.0,top
D2_2,2.260737,-21.608143,90.0,top
D2_20,43.313163,-21.608143,90.0,top
D2_21,43.313163,-32.904648,90.0,top
D2_22,43.313163,-44.201153,90.0,top
D2_23,43.313163,-55.497658,90.0,top
D2_24,43.313163,-66.794163,90.0,top
D2_3,2.260737,-32.904648,90.0,top
D2_4,2.260737,-44.201153,90.0,top
D2_5,2.260737,-55.497658,90.0,top
D2_6,2.260737,-66.794163,90.0,top
D2_7,15.944879,-10.311638,90.0,top
D2_8,15.944879,-21.608143,90.0,top
D2_9,15.944879,-32.904648,90.0,top
J1_24,33.217021,-13.680838,270.0,bottom
J1_23,19.532879,-36.273848,270.0,bottom
J1_22,33.217021,-36.273848,270.0,bottom
J1_21,19.532879,-47.570353,270.0,bottom
J1_20,46.901163,-36.273848,270.0,bottom
J1_19,5.848737,-70.163363,270.0,bottom
J1_18,46.901163,-24.977343,270.0,bottom
J1_17,33.217021,-70.163363,270.0,bottom
J1_16,33.217021,-58.866858,270.0,bottom
J1_15,46.901163,-13.680838,270.0,bottom
J1_14,5.848737,-58.866858,270.0,bottom
J1_13,19.532879,-70.163363,270.0,bottom
J1_12,46.901163,-47.570353,270.0,bottom
J1_11,46.901163,-58.866858,270.0,bottom
J1_10,46.901163,-70.163363,270.0,bottom
J1_9,5.848737,-24.977343,270.0,bottom
J1_8,19.532879,-24.977343,270.0,bottom
J1_7,19.532879,-58.866858,270.0,bottom
J1_6,5.848737,-36.273848,270.0,bottom
J1_5,5.848737,-47.570353,270.0,bottom
J1_4,33.217021,-24.977343,270.0,bottom
J1_3,19.532879,-13.680838,270.0,bottom
J1_2,5.848737,-13.680838,270.0,bottom
J1,33.217021,-47.570353,270.0,bottom
J2_24,5.858138,-43.836554,90.0,top
J2_23,46.910564,-43.836554,90.0,top
J2_22,46.910564,-21.243544,90.0,top
J2_21,5.858138,-21.243544,90.0,top
J2_20,33.226422,-55.133059,90.0,top
J2_19,19.54228,-21.243544,90.0,top
J2_18,5.858138,-55.133059,90.0,top
J2_17,46.910564,-66.429564,90.0,top
J2_16,5.858138,-66.429564,90.0,top
J2_15,46.910564,-32.540049,90.0,top
J2_14,46.910564,-9.947039,90.0,top
J2_13,46.910564,-55.133059,90.0,top
J2_12,19.54228,-66.429564,90.0,top
J2_11,33.226422,-32.540049,90.0,top
J2_10,19.54228,-32.540049,90.0,top
J2_9,33.226422,-43.836554,90.0,top
J2_8,5.858138,-9.947039,90.0,top
J2_7,5.858138,-32.540049,90.0,top
J2_6,33.226422,-66.429564,90.0,top
J2_5,33.226422,-9.947039,90.0,top
J2_4,19.54228,-55.133059,90.0,top
J2_3,19.54228,-43.836554,90.0,top
J2_2,33.226422,-21.243544,90.0,top
J2,19.54228,-9.947039,90.0,top
KIKIT_FID_B_1,2.0,-2.0,0.0,bottom
KIKIT_FID_B_2,50.736564,-2.0,0.0,bottom
KIKIT_FID_B_3,2.0,-77.78053,0.0,bottom
KIKIT_FID_B_4,50.736564,-77.78053,0.0,bottom
KIKIT_FID_T_1,2.0,-2.0,0.0,top
KIKIT_FID_T_2,50.736564,-2.0,0.0,top
KIKIT_FID_T_3,2.0,-77.78053,0.0,top
KIKIT_FID_T_4,50.736564,-77.78053,0.0,top
R1,9.398138,-13.860539,270.0,top
R1_10,23.08228,-47.750054,270.0,top
R1_11,23.08228,-59.046559,270.0,top
R1_12,23.08228,-70.343064,270.0,top
R1_13,36.766422,-13.860539,270.0,top
R1_14,36.766422,-25.157044,270.0,top
R1_15,36.766422,-36.453549,270.0,top
R1_16,36.766422,-47.750054,270.0,top
R1_17,36.766422,-59.046559,270.0,top
R1_18,36.766422,-70.343064,270.0,top
R1_19,50.450564,-13.860539,270.0,top
R1_2,9.398138,-25.157044,270.0,top
R1_20,50.450564,-25.157044,270.0,top
R1_21,50.450564,-36.453549,270.0,top
R1_22,50.450564,-47.750054,270.0,top
R1_23,50.450564,-59.046559,270.0,top
R1_24,50.450564,-70.343064,270.0,top
R1_3,9.398138,-36.453549,270.0,top
R1_4,9.398138,-47.750054,270.0,top
R1_5,9.398138,-59.046559,270.0,top
R1_6,9.398138,-70.343064,270.0,top
R1_7,23.08228,-13.860539,270.0,top
R1_8,23.08228,-25.157044,270.0,top
R1_9,23.08228,-36.453549,270.0,top
R2,2.260738,-13.885939,270.0,top
R2_10,15.94488,-47.775454,270.0,top
R2_11,15.94488,-59.071959,270.0,top
R2_12,15.94488,-70.368464,270.0,top
R2_13,29.629022,-13.885939,270.0,top
R2_14,29.629022,-25.182444,270.0,top
R2_15,29.629022,-36.478949,270.0,top
R2_16,29.629022,-47.775454,270.0,top
R2_17,29.629022,-59.071959,270.0,top
R2_18,29.629022,-70.368464,270.0,top
R2_19,43.313164,-13.885939,270.0,top
R2_2,2.260738,-25.182444,270.0,top
R2_20,43.313164,-25.182444,270.0,top
R2_21,43.313164,-36.478949,270.0,top
R2_22,43.313164,-47.775454,270.0,top
R2_23,43.313164,-59.071959,270.0,top
R2_24,43.313164,-70.368464,270.0,top
R2_3,2.260738,-36.478949,270.0,top
R2_4,2.260738,-47.775454,270.0,top
R2_5,2.260738,-59.071959,270.0,top
R2_6,2.260738,-70.368464,270.0,top
R2_7,15.94488,-13.885939,270.0,top
R2_8,15.94488,-25.182444,270.0,top
R2_9,15.94488,-36.478949,270.0,top
